"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Add_NewColumn.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 5, 68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Modify_ProgressApply.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 5, 33
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AddModify/Component/Modify_ReplaceValue.jsx", "JavaScript JSX", 0, 183, 0, 0, 0, 8, 191
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AlterFieldName/AlterFieldName.jsx", "JavaScript JSX", 0, 179, 0, 0, 1, 16, 196
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/AppendDataset/AppendDataset.jsx", "JavaScript JSX", 0, 118, 0, 0, 0, 11, 129
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/ChangeDType/ChangeDType.jsx", "JavaScript JSX", 0, 183, 0, 0, 1, 15, 199
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Cluster/Cluster.jsx", "JavaScript JSX", 0, 212, 0, 0, 0, 8, 220
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/DropColumn/DropColumn.jsx", "JavaScript JSX", 0, 161, 0, 0, 1, 13, 175
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/DropRow/DropRow.jsx", "JavaScript JSX", 0, 140, 0, 0, 1, 12, 153
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Encoding/Encoding.jsx", "JavaScript JSX", 0, 176, 0, 0, 1, 16, 193
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/FeatureSelection.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 5, 68
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/BestOverallFeature.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 4, 42
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/MutualInformation.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 2, 9
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/ProgressiveFeature.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 4, 72
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/FeatureSelection/components/SelectKBest.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 5, 115
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/MergeDataset/MergeDataset.jsx", "JavaScript JSX", 0, 149, 0, 0, 1, 14, 164
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Feature Engineering/Scaling/Scaling.jsx", "JavaScript JSX", 0, 157, 0, 0, 1, 11, 169
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/BuildModel.jsx", "JavaScript JSX", 0, 63, 0, 0, 12, 11, 86
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/DecisionTreeClassification.jsx", "JavaScript JSX", 0, 94, 0, 0, 1, 5, 100
